epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,182.316,1.38511,0.44,1,1.3426,0.00015,0.00015,0.00015
2,383.894,1.27816,0.32,1,1.3559,0.000311469,0.000311469,0.000311469
3,602.694,1.20967,0.24,1,1.50615,0.000471865,0.000471865,0.000471865
4,863.28,1.09694,0.2,1,1.54025,0.000631189,0.000631189,0.000631189
5,1342.21,1.07684,0.32,1,2.0558,0.00078944,0.00078944,0.00078944
6,1737.91,1.03406,0.4,1,1.56761,0.000946619,0.000946619,0.000946619
7,2041.16,0.99264,0.2,1,3.39297,0.00110272,0.00110272,0.00110272
8,2397.92,1.03331,0.24,1,3.24374,0.00122112,0.00122112,0.00122112
9,2653.83,0.99982,0.48,1,2.0551,0.001217,0.001217,0.001217
10,3020.98,0.95748,0.2,1,2.70107,0.00121287,0.00121287,0.00121287
11,3511.34,0.95852,0.24,1,2.42735,0.00120875,0.00120875,0.00120875
12,3703,0.8922,0.4,1,2.84475,0.00120462,0.00120462,0.00120462
13,3824.41,0.82412,0.52,1,3.30917,0.0012005,0.0012005,0.0012005
14,3955.27,0.86742,0.28,1,4.3524,0.00119637,0.00119637,0.00119637
15,4082.92,0.73637,0.32,1,1.97723,0.00119225,0.00119225,0.00119225
16,4212.36,0.68631,0.32,1,2.26312,0.00118812,0.00118812,0.00118812
17,4337.23,0.82757,0.28,1,1.68769,0.001184,0.001184,0.001184
18,4461.1,0.67055,0.44,1,2.1509,0.00117988,0.00117988,0.00117988
19,4586.21,0.63373,0.36,1,3.59632,0.00117575,0.00117575,0.00117575
20,4703.91,0.63447,0.24,1,2.36732,0.00117163,0.00117163,0.00117163
21,4819.04,0.61831,0.28,1,2.62607,0.0011675,0.0011675,0.0011675
22,4933.79,0.51715,0.4,1,1.48697,0.00116337,0.00116337,0.00116337
23,5047.31,0.48571,0.32,1,2.27136,0.00115925,0.00115925,0.00115925
24,5158.46,0.54898,0.32,1,3.67537,0.00115513,0.00115513,0.00115513
25,5271.81,0.51414,0.28,1,2.30682,0.001151,0.001151,0.001151
26,5472.43,0.5223,0.32,1,1.85877,0.00114688,0.00114688,0.00114688
27,5733.64,0.52028,0.32,1,2.48041,0.00114275,0.00114275,0.00114275
28,5875.44,0.57726,0.32,1,3.59659,0.00113863,0.00113863,0.00113863
29,6076.96,0.51128,0.48,1,3.25973,0.0011345,0.0011345,0.0011345
30,6302.38,0.4976,0.4,1,3.42746,0.00113038,0.00113038,0.00113038
31,6430.96,0.49397,0.28,1,3.25118,0.00112625,0.00112625,0.00112625
32,6589.74,0.48954,0.4,1,3.82033,0.00112213,0.00112213,0.00112213
33,6761.47,0.48086,0.4,1,2.66294,0.001118,0.001118,0.001118
34,6880.95,0.45666,0.4,1,2.08559,0.00111388,0.00111388,0.00111388
35,6992.9,0.47872,0.48,1,2.90772,0.00110975,0.00110975,0.00110975
36,7105.96,0.39964,0.32,1,2.56658,0.00110563,0.00110563,0.00110563
37,7216.86,0.37721,0.44,1,3.08933,0.0011015,0.0011015,0.0011015
38,7328.31,0.33027,0.28,1,3.23925,0.00109738,0.00109738,0.00109738
39,7440.45,0.31523,0.28,1,2.71638,0.00109325,0.00109325,0.00109325
40,7552.47,0.32881,0.36,1,2.34798,0.00108913,0.00108913,0.00108913
41,7663.91,0.31719,0.32,1,2.45383,0.001085,0.001085,0.001085
42,7777.74,0.34588,0.24,1,3.53821,0.00108088,0.00108088,0.00108088
43,7890.36,0.39351,0.32,1,3.15889,0.00107675,0.00107675,0.00107675
44,8001.48,0.36255,0.32,1,2.60428,0.00107263,0.00107263,0.00107263
45,8112.63,0.41514,0.4,1,2.84619,0.0010685,0.0010685,0.0010685
46,8223.27,0.39097,0.4,1,3.40027,0.00106437,0.00106437,0.00106437
47,8333.48,0.33891,0.44,1,4.07812,0.00106025,0.00106025,0.00106025
48,8444.64,0.31053,0.36,1,3.03962,0.00105612,0.00105612,0.00105612
49,8554.74,0.34798,0.44,1,3.10165,0.001052,0.001052,0.001052
50,8664.55,0.31469,0.28,1,3.72601,0.00104787,0.00104787,0.00104787
51,8781.64,0.29605,0.32,1,3.57386,0.00104375,0.00104375,0.00104375
52,8893.45,0.32631,0.28,1,3.22488,0.00103962,0.00103962,0.00103962
53,9174.95,0.32635,0.32,1,3.78342,0.0010355,0.0010355,0.0010355
54,9531.98,0.29612,0.32,1,3.48029,0.00103138,0.00103138,0.00103138
55,9938.7,0.34948,0.32,1,2.44467,0.00102725,0.00102725,0.00102725
56,10363.5,0.30594,0.4,1,2.29136,0.00102312,0.00102312,0.00102312
57,10734.6,0.29903,0.36,1,2.58484,0.001019,0.001019,0.001019
58,10940.8,0.34101,0.32,1,2.14181,0.00101488,0.00101488,0.00101488
59,11539.2,0.30584,0.4,1,2.72425,0.00101075,0.00101075,0.00101075
60,12014.5,0.32231,0.28,1,4.04041,0.00100663,0.00100663,0.00100663
61,12686.8,0.26043,0.36,1,1.88432,0.0010025,0.0010025,0.0010025
62,13246,0.20087,0.4,1,2.9078,0.000998375,0.000998375,0.000998375
63,13682.5,0.19992,0.4,1,3.28434,0.00099425,0.00099425,0.00099425
64,14151.1,0.2343,0.4,1,3.2526,0.000990125,0.000990125,0.000990125
65,14605.3,0.20248,0.32,1,2.90905,0.000986,0.000986,0.000986
66,15156.5,0.16533,0.44,1,3.00465,0.000981875,0.000981875,0.000981875
67,15660.4,0.14577,0.4,1,2.9128,0.00097775,0.00097775,0.00097775
68,16078.8,0.1542,0.32,1,2.93773,0.000973625,0.000973625,0.000973625
69,16522.8,0.19236,0.32,1,2.75428,0.0009695,0.0009695,0.0009695
70,16970.5,0.19281,0.32,1,4.15707,0.000965375,0.000965375,0.000965375
71,17343.7,0.17681,0.32,1,3.51253,0.00096125,0.00096125,0.00096125
72,17768.7,0.30338,0.36,1,4.79588,0.000957125,0.000957125,0.000957125
