epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,313.291,0.62381,0.725,1,0.58796,0.0005001,0.0005001,0.0005001
2,610.303,0.51428,0.7,1,0.61064,0.00101351,0.00101351,0.00101351
3,903.037,0.55943,0.5,1,1.48589,0.00152352,0.00152352,0.00152352
4,1187.04,0.58438,0.65,1,0.7597,0.0016505,0.0016505,0.0016505
5,1467.02,0.55472,0.625,1,0.68089,0.001645,0.001645,0.001645
6,1746.65,0.52135,0.6,1,0.78034,0.00163949,0.00163949,0.00163949
7,2027.17,0.50076,0.625,1,1.82824,0.00163399,0.00163399,0.00163399
8,2307.42,0.49818,0.8,1,0.43596,0.00162849,0.00162849,0.00162849
9,2592.73,0.4818,0.7,1,0.66157,0.00162299,0.00162299,0.00162299
10,2877.52,0.46493,0.625,1,0.76141,0.00161749,0.00161749,0.00161749
11,3155.69,0.44909,0.8,1,1.00541,0.00161199,0.00161199,0.00161199
12,3431.98,0.46508,0.6,1,0.60839,0.00160649,0.00160649,0.00160649
13,3707.22,0.44802,0.575,1,0.79198,0.00160099,0.00160099,0.00160099
14,3982.01,0.43365,0.775,1,0.57858,0.00159549,0.00159549,0.00159549
15,4272.03,0.46016,0.575,1,1.35464,0.00158998,0.00158998,0.00158998
16,4750.45,0.44168,0.675,1,0.87799,0.00158448,0.00158448,0.00158448
17,5107.95,0.42676,0.65,1,0.72008,0.00157898,0.00157898,0.00157898
18,5494.17,0.43189,0.575,1,0.8984,0.00157348,0.00157348,0.00157348
19,5882.41,0.41605,0.625,1,0.82162,0.00156798,0.00156798,0.00156798
20,6220.78,0.4356,0.575,1,0.90264,0.00156248,0.00156248,0.00156248
21,6505.83,0.42194,0.6,1,0.57705,0.00155698,0.00155698,0.00155698
22,6783.88,0.40165,0.675,1,0.6906,0.00155148,0.00155148,0.00155148
23,7059.22,0.41093,0.75,1,0.47406,0.00154598,0.00154598,0.00154598
24,7334.98,0.4344,0.775,1,0.50629,0.00154047,0.00154047,0.00154047
25,7608.81,0.4397,0.7,1,0.57352,0.00153497,0.00153497,0.00153497
26,7883.33,0.43005,0.7,1,0.65523,0.00152947,0.00152947,0.00152947
27,8159.46,0.38339,0.825,1,0.42831,0.00152397,0.00152397,0.00152397
28,8434.58,0.40166,0.775,1,0.55793,0.00151847,0.00151847,0.00151847
29,8708.95,0.37803,0.65,1,0.6787,0.00151297,0.00151297,0.00151297
30,8996.12,0.36673,0.7,1,0.69296,0.00150747,0.00150747,0.00150747
31,9307.19,0.38228,0.55,1,1.27594,0.00150197,0.00150197,0.00150197
32,9674.53,0.38102,0.75,1,0.7586,0.00149647,0.00149647,0.00149647
33,10028.4,0.37461,0.675,1,0.96994,0.00149096,0.00149096,0.00149096
34,10390.9,0.37627,0.8,1,0.59648,0.00148546,0.00148546,0.00148546
35,10776.5,0.3562,0.775,1,0.52962,0.00147996,0.00147996,0.00147996
36,11156.9,0.35751,0.775,1,0.55869,0.00147446,0.00147446,0.00147446
37,11538.8,0.35455,0.625,1,1.21249,0.00146896,0.00146896,0.00146896
38,11920.2,0.3473,0.675,1,0.60722,0.00146346,0.00146346,0.00146346
39,12299.5,0.35541,0.7,1,0.59724,0.00145796,0.00145796,0.00145796
