epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,381.438,1.29646,0.45,1,1.23842,0.000375,0.000375,0.000375
2,689.394,1.0824,0.425,1,1.2214,0.000759984,0.000759984,0.000759984
3,1049.84,1.07494,0.375,1,2.35042,0.00114241,0.00114241,0.00114241
4,1376.04,1.15077,0.375,1,1.4511,0.00123763,0.00123763,0.00123763
5,1726.84,1.08411,0.55,1,1.4865,0.0012335,0.0012335,0.0012335
6,2061.73,1.03837,0.375,1,1.25909,0.00122937,0.00122937,0.00122937
7,2362.73,1.00803,0.45,1,1.53785,0.00122525,0.00122525,0.00122525
8,2666.96,0.98689,0.4,1,1.24335,0.00122112,0.00122112,0.00122112
9,2972.43,0.93476,0.475,1,1.30285,0.001217,0.001217,0.001217
10,3265.61,0.91336,0.6,1,1.04882,0.00121287,0.00121287,0.00121287
11,3559.77,0.87294,0.525,1,1.30423,0.00120875,0.00120875,0.00120875
12,3853.6,0.86783,0.45,1,1.7556,0.00120462,0.00120462,0.00120462
13,4137.65,0.84267,0.575,1,1.30204,0.0012005,0.0012005,0.0012005
14,4430.1,0.80917,0.45,1,1.54482,0.00119637,0.00119637,0.00119637
15,4741.15,0.76523,0.575,1,1.17552,0.00119225,0.00119225,0.00119225
16,5137.8,0.74875,0.6,1,1.00633,0.00118812,0.00118812,0.00118812
17,5527.01,0.75012,0.5,1,1.14168,0.001184,0.001184,0.001184
18,5920.9,0.74328,0.575,1,1.23947,0.00117988,0.00117988,0.00117988
19,6256.62,0.72842,0.575,1,1.01586,0.00117575,0.00117575,0.00117575
20,6567.81,0.72565,0.525,1,1.26475,0.00117163,0.00117163,0.00117163
21,6891.08,0.7011,0.575,1,1.28581,0.0011675,0.0011675,0.0011675
22,7182.12,0.69978,0.65,1,1.03852,0.00116337,0.00116337,0.00116337
23,7471.46,0.68941,0.525,1,1.58672,0.00115925,0.00115925,0.00115925
24,7760.8,0.67153,0.525,1,1.67209,0.00115513,0.00115513,0.00115513
25,8242.6,0.64387,0.475,1,1.23167,0.001151,0.001151,0.001151
26,8729.89,0.59148,0.65,1,0.90539,0.00114688,0.00114688,0.00114688
27,9346.04,0.5887,0.5,1,1.41266,0.00114275,0.00114275,0.00114275
28,9790.44,0.60198,0.525,1,1.13539,0.00113863,0.00113863,0.00113863
29,10193.7,0.64296,0.575,1,1.10494,0.0011345,0.0011345,0.0011345
30,10602.6,0.58572,0.55,1,1.30978,0.00113038,0.00113038,0.00113038
31,10984.1,0.54592,0.675,1,0.86781,0.00112625,0.00112625,0.00112625
32,11343.2,0.52685,0.525,1,1.74343,0.00112213,0.00112213,0.00112213
33,11863.4,0.53793,0.6,1,1.29408,0.001118,0.001118,0.001118
34,12347,0.51329,0.7,1,0.99247,0.00111388,0.00111388,0.00111388
35,12725.4,0.51153,0.575,1,1.24129,0.00110975,0.00110975,0.00110975
36,13114.3,0.47843,0.55,1,1.30171,0.00110563,0.00110563,0.00110563
37,13492.3,0.45156,0.725,1,0.81642,0.0011015,0.0011015,0.0011015
38,13882.1,0.46848,0.6,1,1.03971,0.00109738,0.00109738,0.00109738
39,14272.2,0.45097,0.7,1,0.94094,0.00109325,0.00109325,0.00109325
40,14658.5,0.43793,0.65,1,1.25188,0.00108913,0.00108913,0.00108913
41,15046.3,0.41415,0.7,1,1.38459,0.001085,0.001085,0.001085
42,15367.9,0.40602,0.65,1,1.58724,0.00108088,0.00108088,0.00108088
43,15690.4,0.41584,0.675,1,1.08262,0.00107675,0.00107675,0.00107675
44,16053,0.40158,0.65,1,0.96342,0.00107263,0.00107263,0.00107263
45,16432.2,0.4188,0.4,1,2.96075,0.0010685,0.0010685,0.0010685
46,16782.9,0.3991,0.4,1,2.06642,0.00106437,0.00106437,0.00106437
47,17155.8,0.38299,0.625,1,1.29183,0.00106025,0.00106025,0.00106025
48,17500.3,0.37469,0.675,1,1.27773,0.00105612,0.00105612,0.00105612
49,17844,0.37656,0.7,1,1.19314,0.001052,0.001052,0.001052
50,18215.2,0.39055,0.65,1,1.36935,0.00104787,0.00104787,0.00104787
51,18608.2,0.35819,0.65,1,0.95882,0.00104375,0.00104375,0.00104375
52,19000.4,0.38289,0.675,1,0.95302,0.00103962,0.00103962,0.00103962
53,19390.2,0.33743,0.675,1,1.43874,0.0010355,0.0010355,0.0010355
54,19785.1,0.3478,0.675,1,1.4386,0.00103138,0.00103138,0.00103138
55,20175.2,0.32541,0.75,1,1.35932,0.00102725,0.00102725,0.00102725
56,20570.6,0.28386,0.65,1,1.25411,0.00102312,0.00102312,0.00102312
57,20959.1,0.31049,0.65,1,1.07488,0.001019,0.001019,0.001019
58,21342.4,0.31753,0.7,1,0.71262,0.00101488,0.00101488,0.00101488
59,21733.2,0.31153,0.55,1,1.18624,0.00101075,0.00101075,0.00101075
60,22118,0.29482,0.7,1,1.52086,0.00100663,0.00100663,0.00100663
61,22509.3,0.26303,0.75,1,1.06324,0.0010025,0.0010025,0.0010025
62,22899.2,0.31263,0.775,1,0.74442,0.000998375,0.000998375,0.000998375
63,23287.6,0.27895,0.7,1,1.40766,0.00099425,0.00099425,0.00099425
64,23679.4,0.26337,0.675,1,0.88143,0.000990125,0.000990125,0.000990125
65,24066.6,0.26748,0.7,1,1.28233,0.000986,0.000986,0.000986
66,24453.9,0.27098,0.725,1,1.33243,0.000981875,0.000981875,0.000981875
67,24843.1,0.25573,0.75,1,1.11059,0.00097775,0.00097775,0.00097775
68,25226.2,0.27929,0.7,1,1.56399,0.000973625,0.000973625,0.000973625
69,25616,0.25936,0.7,1,1.51653,0.0009695,0.0009695,0.0009695
70,26002.1,0.25918,0.7,1,1.5041,0.000965375,0.000965375,0.000965375
71,26391,0.243,0.725,1,1.02738,0.00096125,0.00096125,0.00096125
72,26783.7,0.27702,0.65,1,1.23657,0.000957125,0.000957125,0.000957125
73,27169,0.28342,0.7,1,1.27135,0.000953,0.000953,0.000953
74,27556.9,0.26276,0.7,1,0.92286,0.000948875,0.000948875,0.000948875
75,27946.8,0.24157,0.725,1,1.34569,0.00094475,0.00094475,0.00094475
76,28333,0.21978,0.75,1,0.79736,0.000940625,0.000940625,0.000940625
77,28723.4,0.22914,0.7,1,1.30347,0.0009365,0.0009365,0.0009365
78,29106.5,0.21587,0.775,1,1.24063,0.000932375,0.000932375,0.000932375
