epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
78,5597.36,0.23098,0.425,1,2.05211,0.000932375,0.000932375,0.000932375
79,5665.67,0.15591,0.4,1,2.94353,0.00092825,0.00092825,0.00092825
80,5733.66,0.29748,0.475,1,2.08075,0.000924125,0.000924125,0.000924125
81,5801.43,0.11647,0.475,1,1.80719,0.00092,0.00092,0.00092
82,5869.98,0.1281,0.475,1,1.90942,0.000915875,0.000915875,0.000915875
83,5937.7,0.11115,0.475,1,1.90387,0.00091175,0.00091175,0.00091175
84,6005.55,0.12862,0.5,1,1.48448,0.000907625,0.000907625,0.000907625
85,6073.86,0.13628,0.625,1,1.46929,0.0009035,0.0009035,0.0009035
86,6142.11,0.1311,0.55,1,1.7351,0.000899375,0.000899375,0.000899375
87,6211.63,0.1587,0.45,1,2.05497,0.00089525,0.00089525,0.00089525
88,6279.75,0.18794,0.375,1,2.32876,0.000891125,0.000891125,0.000891125
89,6348.11,0.13033,0.375,1,2.8353,0.000887,0.000887,0.000887
90,6416.8,0.26318,0.425,1,2.37267,0.000882875,0.000882875,0.000882875
91,6505.12,0.19327,0.5,1,2.55024,0.00087875,0.00087875,0.00087875
92,6597.05,0.26167,0.425,1,2.50929,0.000874625,0.000874625,0.000874625
93,6684.81,0.20805,0.425,1,2.38405,0.0008705,0.0008705,0.0008705
94,6781.97,0.12795,0.45,1,2.88224,0.000866375,0.000866375,0.000866375
95,6881.52,0.25654,0.375,1,4.18514,0.00086225,0.00086225,0.00086225
96,6974.71,0.15671,0.5,1,3.31334,0.000858125,0.000858125,0.000858125
97,7068.32,0.18517,0.475,1,3.24055,0.000854,0.000854,0.000854
98,7159.2,0.12348,0.5,1,2.83717,0.000849875,0.000849875,0.000849875
99,7249.78,0.17158,0.425,1,2.08488,0.00084575,0.00084575,0.00084575
100,7340.97,0.17953,0.5,1,1.92266,0.000841625,0.000841625,0.000841625
101,7430.3,0.12508,0.375,1,2.21483,0.0008375,0.0008375,0.0008375
102,7523.34,0.14831,0.425,1,2.71939,0.000833375,0.000833375,0.000833375
103,7614.57,0.06348,0.4,1,2.50225,0.00082925,0.00082925,0.00082925
104,7702.07,0.15443,0.4,1,2.46826,0.000825125,0.000825125,0.000825125
105,7848.16,0.09867,0.425,1,2.06032,0.000821,0.000821,0.000821
106,7960.42,0.26266,0.375,1,2.51552,0.000816875,0.000816875,0.000816875
107,8043.02,0.17574,0.375,1,2.6007,0.00081275,0.00081275,0.00081275
108,8122.45,0.09783,0.475,1,1.83461,0.000808625,0.000808625,0.000808625
