epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,797.623,1.28549,0.425,1,1.25774,0.00328638,0.00328638,0.00328638
2,1742.76,1.09404,0.35,1,1.50497,0.00659787,0.00659787,0.00659787
3,2620.5,1.03635,0.275,1,1.49523,0.00988736,0.00988736,0.00988736
4,3342.85,1.0176,0.4,1,1.3771,0.009901,0.009901,0.009901
5,4211.65,0.95434,0.4,1,1.27719,0.009868,0.009868,0.009868
6,4959.42,0.90631,0.3,1,1.43517,0.009835,0.009835,0.009835
7,5705.13,0.8352,0.55,1,1.36811,0.009802,0.009802,0.009802
8,6400.87,0.78275,0.35,1,1.60083,0.009769,0.009769,0.009769
9,7071.52,0.71689,0.4,1,1.44412,0.009736,0.009736,0.009736
10,7741.72,0.68883,0.5,1,1.37116,0.009703,0.009703,0.009703
11,8662.67,0.64078,0.225,1,2.60507,0.00967,0.00967,0.00967
12,9699.06,0.61146,0.525,1,1.15316,0.009637,0.009637,0.009637
13,10713.7,0.57665,0.425,1,1.1582,0.009604,0.009604,0.009604
14,11708.9,0.52526,0.3,1,1.80144,0.009571,0.009571,0.009571
15,12710.2,0.53914,0.55,1,1.32131,0.009538,0.009538,0.009538
16,13745.6,0.50918,0.575,1,1.26348,0.009505,0.009505,0.009505
17,14698.7,0.49536,0.5,1,1.49708,0.009472,0.009472,0.009472
18,15644.1,0.49547,0.375,1,1.20649,0.009439,0.009439,0.009439
19,16583.7,0.44595,0.5,1,1.59132,0.009406,0.009406,0.009406
20,17607.2,0.42237,0.4,1,1.55619,0.009373,0.009373,0.009373
21,18760,0.42278,0.575,1,1.11313,0.00934,0.00934,0.00934
22,19559.7,0.42165,0.6,1,1.44281,0.009307,0.009307,0.009307
23,20280.9,0.38102,0.675,1,1.05613,0.009274,0.009274,0.009274
24,20993.1,0.39212,0.575,1,1.07471,0.009241,0.009241,0.009241
25,21660.9,0.36638,0.625,1,1.19093,0.009208,0.009208,0.009208
26,22405.4,0.34992,0.4,1,2.03508,0.009175,0.009175,0.009175
27,23120.7,0.35514,0.5,1,1.27484,0.009142,0.009142,0.009142
28,23837.3,0.34175,0.525,1,1.8463,0.009109,0.009109,0.009109
29,24589.3,0.35629,0.575,1,1.4553,0.009076,0.009076,0.009076
30,25305.1,0.32399,0.6,1,1.3742,0.009043,0.009043,0.009043
31,26014,0.31296,0.6,1,1.12406,0.00901,0.00901,0.00901
32,26839.1,0.30753,0.7,1,1.34659,0.008977,0.008977,0.008977
33,27623.5,0.31691,0.525,1,1.2991,0.008944,0.008944,0.008944
34,28396.8,0.29889,0.325,1,1.97746,0.008911,0.008911,0.008911
35,29175.5,0.27706,0.55,1,1.56701,0.008878,0.008878,0.008878
36,29940,0.27288,0.65,1,1.44348,0.008845,0.008845,0.008845
37,30721.7,0.26522,0.4,1,1.78074,0.008812,0.008812,0.008812
38,31515.3,0.26171,0.725,1,1.06104,0.008779,0.008779,0.008779
39,32246.6,0.25013,0.45,1,1.62047,0.008746,0.008746,0.008746
40,32983.2,0.25489,0.675,1,1.05541,0.008713,0.008713,0.008713
41,33735,0.25467,0.725,1,1.26647,0.00868,0.00868,0.00868
42,34506.9,0.24798,0.7,1,1.42961,0.008647,0.008647,0.008647
43,35291,0.22327,0.725,1,1.30933,0.008614,0.008614,0.008614
44,36073.3,0.23312,0.7,1,1.20448,0.008581,0.008581,0.008581
45,36805,0.22021,0.75,1,1.30598,0.008548,0.008548,0.008548
46,37534.8,0.23585,0.775,1,1.23104,0.008515,0.008515,0.008515
47,38288,0.23242,0.65,1,1.38642,0.008482,0.008482,0.008482
48,39056.5,0.21318,0.75,1,1.05399,0.008449,0.008449,0.008449
49,39837.8,0.22813,0.675,1,1.37886,0.008416,0.008416,0.008416
50,40605,0.2229,0.65,1,1.01647,0.008383,0.008383,0.008383
51,41341.8,0.22312,0.725,1,1.03676,0.00835,0.00835,0.00835
52,42079.5,0.20657,0.525,1,1.69894,0.008317,0.008317,0.008317
53,42840.5,0.20353,0.7,1,1.11837,0.008284,0.008284,0.008284
54,43615.9,0.2031,0.7,1,0.75783,0.008251,0.008251,0.008251
55,44398.7,0.20518,0.7,1,1.10239,0.008218,0.008218,0.008218
56,45141.9,0.18754,0.65,1,1.31901,0.008185,0.008185,0.008185
57,45873.8,0.19517,0.7,1,1.10163,0.008152,0.008152,0.008152
58,46609.7,0.20785,0.675,1,0.97409,0.008119,0.008119,0.008119
59,47371.4,0.19259,0.775,1,0.75597,0.008086,0.008086,0.008086
60,48139.7,0.18714,0.775,1,1.17075,0.008053,0.008053,0.008053
61,48916.4,0.18177,0.775,1,1.10156,0.00802,0.00802,0.00802
